Site	Morph	Individual	Weight	Embryo
25	Female	15	0.115	morta
9	Hermaphrodite	12	0.109	morta
34	Hermaphrodite	1	0.109	morta
38	Hermaphrodite	31	0.108	morta
37	Female	7	0.106	morta
5	Hermaphrodite	19	0.105	morta
14	Female	2	0.103	morta
35	Female	7	0.096	morta
38	Female	21	0.096	morta
16	Female	8	0.095	morta
2	Female	19	0.093	morta
5	Female	3	0.093	morta
5	Female	17	0.093	morta
9	Hermaphrodite	25	0.093	morta
25	Female	7	0.093	morta
20	Female	7	0.092	morta
38	Hermaphrodite	18	0.092	morta
37	Female	41	0.091	morta
34	Hermaphrodite	4	0.090	morta
34	Hermaphrodite	3	0.089	morta
2	Female	27	0.088	morta
39	Hermaphrodite	8	0.088	morta
18	Hermaphrodite	2	0.087	morta
36	Hermaphrodite	1	0.086	morta
24	Female	3	0.085	morta
35	Female	26	0.085	morta
2	Female	21	0.084	morta
5	Female	29	0.083	morta
5	Hermaphrodite	3	0.082	morta
9	Hermaphrodite	15	0.082	morta
9	Hermaphrodite	19	0.082	morta
6	Hermaphrodite	5	0.081	morta
14	Female	1	0.081	morta
25	Female	1	0.081	morta
36	Hermaphrodite	6	0.081	morta
9	Hermaphrodite	2	0.080	morta
21	Female	21	0.079	morta
25	Female	9	0.079	morta
9	Hermaphrodite	6	0.078	morta
20	Female	11	0.077	morta
24	Female	2	0.077	morta
36	Hermaphrodite	8	0.076	morta
9	Female	22	0.075	morta
9	Hermaphrodite	14	0.075	morta
1	Hermaphrodite	27	0.074	morta
23	Female	8	0.074	morta
25	Female	6	0.074	morta
10	Female	1	0.073	morta
30	Female	12	0.073	morta
2	Female	26	0.072	morta
20	Hermaphrodite	7	0.072	morta
19	Female	1	0.071	morta
26	Female	2	0.071	morta
5	Hermaphrodite	17	0.070	morta
10	Hermaphrodite	18	0.070	morta
17	Hermaphrodite	11	0.070	morta
19	Female	5	0.070	morta
20	Female	3	0.070	morta
36	Hermaphrodite	9	0.070	morta
21	Female	5	0.069	morta
5	Female	10	0.068	morta
5	Female	20	0.068	morta
20	Hermaphrodite	3	0.068	morta
30	Female	9	0.068	morta
30	Hermaphrodite	6	0.068	morta
39	Female	27	0.068	morta
39	Hermaphrodite	4	0.068	morta
2	Hermaphrodite	7	0.067	morta
2	Hermaphrodite	11	0.067	morta
3	Female	30	0.067	morta
9	Female	15	0.067	morta
39	Female	10	0.067	morta
1	Female	18	0.066	morta
12	Hermaphrodite	14	0.066	morta
33	Hermaphrodite	4	0.066	morta
1	Hermaphrodite	7	0.065	morta
5	Female	5	0.065	morta
9	Female	14	0.065	morta
31	Hermaphrodite	20	0.065	morta
32	Hermaphrodite	19	0.065	morta
34	Female	7	0.065	morta
36	Hermaphrodite	5	0.065	morta
39	Female	8	0.065	morta
17	Female	7	0.064	morta
17	Female	22	0.064	morta
23	Female	31	0.064	morta
31	Hermaphrodite	15	0.064	morta
34	Hermaphrodite	2	0.064	morta
38	Hermaphrodite	28	0.064	morta
39	Hermaphrodite	7	0.064	morta
9	Hermaphrodite	18	0.063	morta
14	Female	17	0.063	morta
30	Female	24	0.063	morta
31	Hermaphrodite	16	0.063	morta
31	Hermaphrodite	17	0.063	morta
39	Female	11	0.063	morta
1	Hermaphrodite	1	0.062	morta
5	Hermaphrodite	6	0.062	morta
15	Female	8	0.062	morta
20	Female	10	0.062	morta
31	Hermaphrodite	23	0.062	morta
40	Female	10	0.062	morta
10	Hermaphrodite	6	0.061	morta
20	Female	15	0.061	morta
22	Female	2	0.061	morta
34	Female	10	0.061	morta
39	Female	22	0.061	morta
1	Hermaphrodite	14	0.060	morta
4	Female	29	0.060	morta
5	Female	9	0.060	morta
7	Hermaphrodite	23	0.060	morta
20	Female	5	0.060	morta
23	Female	30	0.060	morta
32	Female	11	0.060	morta
1	Hermaphrodite	24	0.059	morta
5	Female	6	0.059	morta
7	Female	37	0.059	morta
26	Hermaphrodite	1	0.059	morta
34	Female	5	0.059	morta
36	Hermaphrodite	12	0.059	morta
3	Female	8	0.058	morta
3	Hermaphrodite	13	0.058	morta
9	Female	6	0.058	morta
9	Hermaphrodite	21	0.058	morta
12	Hermaphrodite	23	0.058	morta
14	Female	6	0.058	morta
17	Hermaphrodite	10	0.058	morta
18	Female	3	0.058	morta
23	Female	23	0.058	morta
4	Hermaphrodite	10	0.057	morta
7	Hermaphrodite	24	0.057	morta
13	Hermaphrodite	6	0.057	morta
21	Female	22	0.057	morta
22	Hermaphrodite	3	0.057	morta
36	Female	12	0.057	morta
3	Hermaphrodite	11	0.056	morta
3	Hermaphrodite	15	0.056	morta
4	Hermaphrodite	6	0.056	morta
8	Female	7	0.056	morta
15	Hermaphrodite	4	0.056	morta
18	Female	1	0.056	morta
19	Female	8	0.056	morta
20	Hermaphrodite	2	0.056	morta
31	Hermaphrodite	22	0.056	morta
39	Hermaphrodite	2	0.056	morta
1	Female	33	0.055	morta
5	Hermaphrodite	10	0.055	morta
13	Hermaphrodite	50	0.055	morta
39	Hermaphrodite	3	0.055	morta
1	Hermaphrodite	12	0.054	morta
5	Hermaphrodite	7	0.054	morta
9	Hermaphrodite	10	0.054	morta
19	Hermaphrodite	3	0.054	morta
23	Female	11	0.054	morta
24	Hermaphrodite	1	0.054	morta
27	Hermaphrodite	4	0.054	morta
33	Hermaphrodite	5	0.054	morta
34	Female	9	0.054	morta
39	Female	17	0.054	morta
1	Hermaphrodite	8	0.053	morta
5	Hermaphrodite	11	0.053	morta
15	Hermaphrodite	3	0.053	morta
16	Female	12	0.053	morta
17	Female	14	0.053	morta
19	Female	13	0.053	morta
30	Female	17	0.053	morta
5	Female	1	0.052	morta
22	Female	4	0.052	morta
27	Hermaphrodite	1	0.052	morta
32	Hermaphrodite	7	0.052	morta
38	Female	20	0.052	morta
1	Female	25	0.051	morta
4	Hermaphrodite	39	0.051	morta
5	Hermaphrodite	15	0.051	morta
19	Hermaphrodite	1	0.051	morta
35	Hermaphrodite	3	0.051	morta
37	Hermaphrodite	7	0.051	morta
3	Female	6	0.050	morta
4	Hermaphrodite	47	0.050	morta
5	Hermaphrodite	2	0.050	morta
20	Female	12	0.050	morta
22	Hermaphrodite	8	0.050	morta
23	Female	24	0.050	morta
30	Hermaphrodite	1	0.050	morta
32	Hermaphrodite	13	0.050	morta
36	Hermaphrodite	13	0.050	morta
3	Hermaphrodite	6	0.049	morta
4	Female	12	0.049	morta
7	Hermaphrodite	21	0.049	morta
7	Hermaphrodite	26	0.049	morta
8	Female	27	0.049	morta
8	Hermaphrodite	5	0.049	morta
9	Female	19	0.049	morta
17	Hermaphrodite	4	0.049	morta
21	Hermaphrodite	10	0.049	morta
22	Hermaphrodite	1	0.049	morta
30	Female	18	0.049	morta
31	Hermaphrodite	21	0.049	morta
39	Female	32	0.049	morta
3	Female	21	0.048	morta
3	Hermaphrodite	16	0.048	morta
3	Hermaphrodite	19	0.048	morta
4	Female	38	0.048	morta
7	Hermaphrodite	7	0.048	morta
9	Female	24	0.048	morta
9	Hermaphrodite	3	0.048	morta
12	Hermaphrodite	24	0.048	morta
18	Female	5	0.048	morta
19	Female	12	0.048	morta
32	Female	12	0.048	morta
33	Hermaphrodite	17	0.048	morta
35	Hermaphrodite	7	0.048	morta
38	Female	19	0.048	morta
39	Female	16	0.048	morta
3	Hermaphrodite	4	0.047	morta
4	Hermaphrodite	8	0.047	morta
7	Hermaphrodite	6	0.047	morta
9	Female	12	0.047	morta
17	Hermaphrodite	3	0.047	morta
17	Hermaphrodite	6	0.047	morta
32	Hermaphrodite	9	0.047	morta
3	Female	36	0.046	morta
3	Hermaphrodite	7	0.046	morta
5	Female	16	0.046	morta
5	Hermaphrodite	5	0.046	morta
5	Hermaphrodite	9	0.046	morta
7	Female	25	0.046	morta
8	Female	9	0.046	morta
8	Female	16	0.046	morta
16	Female	42	0.046	morta
20	Female	9	0.046	morta
29	Hermaphrodite	7	0.046	morta
32	Hermaphrodite	41	0.046	morta
3	Female	3	0.045	morta
4	Hermaphrodite	11	0.045	morta
8	Female	5	0.045	morta
8	Female	12	0.045	morta
9	Hermaphrodite	20	0.045	morta
22	Hermaphrodite	5	0.045	morta
32	Hermaphrodite	11	0.045	morta
32	Hermaphrodite	38	0.045	morta
5	Hermaphrodite	14	0.044	morta
22	Female	1	0.044	morta
22	Hermaphrodite	6	0.044	morta
29	Hermaphrodite	3	0.044	morta
32	Hermaphrodite	6	0.044	morta
34	Female	8	0.044	morta
34	Female	11	0.044	morta
3	Hermaphrodite	17	0.043	morta
5	Hermaphrodite	4	0.043	morta
13	Hermaphrodite	34	0.043	morta
18	Female	4	0.043	morta
19	Female	15	0.043	morta
20	Female	2	0.043	morta
33	Female	31	0.043	morta
3	Hermaphrodite	8	0.042	morta
10	Hermaphrodite	21	0.042	morta
1	Hermaphrodite	42	0.042	morta
7	Hermaphrodite	1	0.041	morta
17	Hermaphrodite	9	0.041	morta
4	Female	39	0.040	morta
7	Female	42	0.040	morta
8	Female	6	0.040	morta
32	Hermaphrodite	2	0.040	morta
32	Hermaphrodite	3	0.040	morta
32	Hermaphrodite	40	0.040	morta
35	Female	19	0.040	morta
38	Female	2	0.040	morta
13	Hermaphrodite	25	0.039	morta
27	Hermaphrodite	3	0.039	morta
37	Female	38	0.039	morta
1	Female	6	0.038	morta
5	Female	4	0.038	morta
23	Hermaphrodite	9	0.038	morta
37	Female	30	0.038	morta
38	Female	28	0.038	morta
4	Hermaphrodite	45	0.037	morta
6	Hermaphrodite	3	0.037	morta
7	Female	6	0.037	morta
36	Female	10	0.037	morta
40	Female	2	0.037	morta
4	Female	22	0.036	morta
34	Female	6	0.036	morta
6	Hermaphrodite	2	0.035	morta
7	Female	38	0.035	morta
8	Female	4	0.035	morta
13	Hermaphrodite	29	0.035	morta
3	Hermaphrodite	18	0.034	morta
22	Hermaphrodite	2	0.034	morta
31	Hermaphrodite	10	0.034	morta
34	Female	2	0.034	morta
4	Female	1	0.033	morta
7	Hermaphrodite	28	0.033	morta
38	Female	33	0.033	morta
39	Female	4	0.033	morta
6	Hermaphrodite	1	0.032	morta
21	Female	18	0.032	morta
34	Female	12	0.032	morta
13	Female	6	0.031	morta
34	Female	4	0.031	morta
32	Female	13	0.030	morta
21	Female	12	0.027	morta
4	Hermaphrodite	12	0.025	morta
20	Female	1	0.020	morta
37	Female	25	0.020	morta
39	Female	1	0.017	morta
1	Female	41	0.015	morta
39	Female	3	0.011	morta
5	Hermaphrodite	1	0.008	morta
5	Hermaphrodite	8	0.076	NA
12	Female	21	0.093	NA
12	Female	26	0.069	NA
14	Female	9	0.085	NA
18	Hermaphrodite	1	0.079	NA
39	Female	33	0.402	viable
38	Hermaphrodite	16	0.367	viable
12	Hermaphrodite	1	0.362	viable
30	Female	11	0.359	viable
6	Female	8	0.352	viable
12	Hermaphrodite	4	0.346	viable
39	Female	23	0.339	viable
1	Hermaphrodite	18	0.336	viable
12	Hermaphrodite	18	0.335	viable
1	Female	22	0.326	viable
13	Female	29	0.325	viable
12	Female	10	0.323	viable
1	Hermaphrodite	6	0.317	viable
12	Hermaphrodite	17	0.317	viable
25	Hermaphrodite	1	0.316	viable
31	Female	12	0.315	viable
1	Hermaphrodite	40	0.314	viable
1	Hermaphrodite	35	0.313	viable
13	Female	34	0.312	viable
5	Female	2	0.310	viable
8	Female	32	0.308	viable
25	Female	12	0.305	viable
12	Hermaphrodite	2	0.304	viable
13	Female	40	0.304	viable
12	Hermaphrodite	5	0.302	viable
23	Hermaphrodite	8	0.302	viable
12	Hermaphrodite	6	0.297	viable
13	Female	41	0.296	viable
38	Hermaphrodite	7	0.296	viable
12	Hermaphrodite	8	0.295	viable
29	Female	21	0.295	viable
6	Hermaphrodite	4	0.294	viable
27	Female	6	0.293	viable
9	Female	1	0.291	viable
8	Female	23	0.290	viable
6	Female	11	0.289	viable
1	Hermaphrodite	28	0.288	viable
12	Hermaphrodite	21	0.288	viable
25	Female	11	0.287	viable
12	Female	28	0.286	viable
29	Female	6	0.286	viable
6	Female	6	0.285	viable
12	Hermaphrodite	27	0.285	viable
21	Female	20	0.285	viable
12	Hermaphrodite	7	0.283	viable
1	Hermaphrodite	45	0.282	viable
1	Female	36	0.282	viable
21	Hermaphrodite	8	0.282	viable
25	Female	13	0.282	viable
1	Female	20	0.281	viable
27	Female	2	0.279	viable
31	Female	10	0.279	viable
7	Female	45	0.278	viable
38	Hermaphrodite	11	0.278	viable
14	Female	10	0.277	viable
6	Female	10	0.274	viable
27	Female	3	0.274	viable
27	Female	4	0.274	viable
6	Female	3	0.273	viable
23	Female	40	0.273	viable
3	Female	37	0.272	viable
13	Female	42	0.272	viable
25	Female	18	0.272	viable
40	Female	3	0.272	viable
2	Female	29	0.271	viable
4	Hermaphrodite	25	0.271	viable
25	Female	30	0.271	viable
30	Hermaphrodite	7	0.271	viable
40	Female	9	0.271	viable
1	Hermaphrodite	11	0.270	viable
4	Hermaphrodite	48	0.270	viable
25	Female	28	0.270	viable
27	Female	7	0.270	viable
25	Female	10	0.269	viable
38	Female	17	0.269	viable
10	Hermaphrodite	17	0.268	viable
12	Female	15	0.267	viable
37	Female	9	0.267	viable
1	Female	11	0.266	viable
26	Hermaphrodite	13	0.266	viable
30	Female	10	0.265	viable
10	Hermaphrodite	1	0.264	viable
6	Female	4	0.263	viable
9	Hermaphrodite	8	0.263	viable
12	Hermaphrodite	11	0.263	viable
6	Female	7	0.262	viable
14	Female	11	0.262	viable
25	Female	29	0.261	viable
1	Hermaphrodite	23	0.260	viable
12	Female	8	0.260	viable
36	Hermaphrodite	4	0.260	viable
25	Female	8	0.259	viable
1	Female	13	0.258	viable
12	Female	9	0.258	viable
15	Female	2	0.258	viable
19	Hermaphrodite	6	0.258	viable
29	Female	9	0.258	viable
19	Hermaphrodite	5	0.257	viable
21	Female	16	0.257	viable
25	Female	14	0.257	viable
25	Female	25	0.257	viable
39	Female	21	0.257	viable
39	Female	29	0.257	viable
4	Female	21	0.256	viable
10	Hermaphrodite	3	0.256	viable
10	Hermaphrodite	16	0.256	viable
31	Female	11	0.256	viable
1	Female	16	0.255	viable
1	Hermaphrodite	38	0.255	viable
10	Hermaphrodite	12	0.255	viable
13	Female	2	0.255	viable
26	Hermaphrodite	10	0.255	viable
2	Hermaphrodite	3	0.254	viable
13	Female	47	0.254	viable
37	Hermaphrodite	14	0.254	viable
10	Hermaphrodite	4	0.253	viable
25	Female	2	0.253	viable
31	Female	22	0.253	viable
35	Hermaphrodite	17	0.253	viable
37	Hermaphrodite	8	0.253	viable
1	Female	34	0.252	viable
1	Hermaphrodite	10	0.252	viable
2	Female	6	0.252	viable
3	Female	25	0.252	viable
17	Female	10	0.252	viable
29	Female	22	0.252	viable
26	Female	6	0.251	viable
4	Hermaphrodite	17	0.250	viable
6	Female	2	0.250	viable
12	Hermaphrodite	12	0.250	viable
12	Hermaphrodite	22	0.250	viable
13	Hermaphrodite	8	0.250	viable
32	Hermaphrodite	22	0.250	viable
29	Female	19	0.249	viable
1	Hermaphrodite	15	0.248	viable
2	Female	7	0.248	viable
13	Female	37	0.248	viable
31	Hermaphrodite	6	0.247	viable
38	Hermaphrodite	14	0.247	viable
40	Female	11	0.247	viable
6	Female	9	0.246	viable
10	Hermaphrodite	8	0.245	viable
29	Female	8	0.245	viable
30	Female	2	0.245	viable
31	Female	8	0.245	viable
25	Female	26	0.243	viable
26	Female	5	0.243	viable
27	Hermaphrodite	2	0.243	viable
1	Hermaphrodite	36	0.242	viable
8	Female	34	0.242	viable
40	Female	8	0.242	viable
1	Hermaphrodite	31	0.241	viable
2	Hermaphrodite	13	0.241	viable
14	Female	19	0.241	viable
14	Female	12	0.240	viable
20	Hermaphrodite	1	0.240	viable
26	Hermaphrodite	22	0.239	viable
13	Female	8	0.238	viable
13	Hermaphrodite	9	0.238	viable
32	Hermaphrodite	30	0.238	viable
5	Female	27	0.237	viable
30	Hermaphrodite	8	0.237	viable
1	Hermaphrodite	25	0.236	viable
12	Female	2	0.236	viable
12	Female	7	0.236	viable
12	Hermaphrodite	13	0.236	viable
17	Female	4	0.236	viable
24	Hermaphrodite	2	0.236	viable
37	Hermaphrodite	1	0.236	viable
1	Hermaphrodite	43	0.235	viable
2	Hermaphrodite	16	0.235	viable
7	Hermaphrodite	12	0.235	viable
11	Female	6	0.235	viable
12	Hermaphrodite	10	0.235	viable
26	Hermaphrodite	6	0.235	viable
1	Hermaphrodite	2	0.234	viable
21	Hermaphrodite	7	0.234	viable
35	Female	31	0.234	viable
36	Female	15	0.234	viable
1	Hermaphrodite	5	0.233	viable
5	Female	28	0.233	viable
10	Female	8	0.233	viable
38	Female	16	0.233	viable
2	Female	10	0.232	viable
3	Female	32	0.231	viable
8	Female	22	0.231	viable
17	Female	9	0.231	viable
36	Female	9	0.231	viable
4	Hermaphrodite	32	0.230	viable
12	Female	19	0.230	viable
17	Female	8	0.230	viable
32	Hermaphrodite	5	0.230	viable
32	Hermaphrodite	18	0.230	viable
32	Hermaphrodite	24	0.230	viable
2	Hermaphrodite	2	0.229	viable
10	Hermaphrodite	19	0.229	viable
13	Hermaphrodite	33	0.229	viable
25	Female	16	0.229	viable
3	Female	11	0.228	viable
4	Female	34	0.228	viable
8	Female	20	0.228	viable
8	Female	21	0.228	viable
16	Female	3	0.228	viable
26	Female	22	0.228	viable
29	Female	13	0.228	viable
30	Female	6	0.228	viable
38	Hermaphrodite	27	0.228	viable
40	Female	4	0.228	viable
2	Hermaphrodite	15	0.227	viable
5	Female	30	0.227	viable
8	Female	31	0.227	viable
12	Female	17	0.227	viable
12	Female	18	0.227	viable
13	Female	5	0.227	viable
16	Female	13	0.227	viable
2	Female	13	0.226	viable
3	Female	42	0.226	viable
7	Hermaphrodite	14	0.226	viable
12	Female	27	0.226	viable
13	Female	3	0.226	viable
17	Hermaphrodite	2	0.226	viable
26	Hermaphrodite	16	0.226	viable
35	Female	12	0.226	viable
9	Hermaphrodite	22	0.225	viable
26	Hermaphrodite	12	0.225	viable
29	Female	17	0.225	viable
13	Hermaphrodite	23	0.224	viable
26	Hermaphrodite	4	0.224	viable
35	Hermaphrodite	22	0.224	viable
7	Female	18	0.223	viable
12	Female	11	0.223	viable
12	Female	23	0.223	viable
27	Female	10	0.223	viable
38	Hermaphrodite	32	0.223	viable
1	Hermaphrodite	37	0.223	viable
4	Female	32	0.222	viable
26	Female	7	0.222	viable
32	Female	33	0.222	viable
13	Hermaphrodite	18	0.221	viable
16	Female	9	0.221	viable
37	Female	32	0.221	viable
39	Female	13	0.221	viable
9	Female	3	0.220	viable
12	Hermaphrodite	3	0.220	viable
38	Female	6	0.220	viable
32	Female	14	0.219	viable
4	Female	40	0.218	viable
7	Female	31	0.218	viable
8	Female	19	0.218	viable
9	Female	4	0.218	viable
10	Hermaphrodite	10	0.218	viable
30	Female	29	0.218	viable
35	Hermaphrodite	20	0.218	viable
38	Hermaphrodite	25	0.218	viable
40	Female	1	0.218	viable
1	Female	40	0.217	viable
2	Female	14	0.217	viable
7	Hermaphrodite	2	0.217	viable
13	Hermaphrodite	48	0.217	viable
15	Female	5	0.217	viable
19	Hermaphrodite	7	0.217	viable
21	Female	1	0.217	viable
26	Female	4	0.217	viable
26	Hermaphrodite	3	0.217	viable
27	Female	11	0.217	viable
36	Female	8	0.217	viable
37	Female	8	0.217	viable
38	Female	39	0.217	viable
2	Female	37	0.216	viable
3	Female	17	0.216	viable
4	Female	27	0.216	viable
7	Hermaphrodite	9	0.216	viable
9	Female	5	0.216	viable
13	Female	28	0.216	viable
13	Female	30	0.216	viable
13	Hermaphrodite	44	0.216	viable
1	Female	19	0.215	viable
17	Hermaphrodite	16	0.215	viable
25	Female	22	0.215	viable
26	Female	10	0.215	viable
37	Female	48	0.215	viable
4	Hermaphrodite	1	0.214	viable
10	Hermaphrodite	9	0.214	viable
13	Female	31	0.214	viable
26	Hermaphrodite	11	0.214	viable
1	Hermaphrodite	32	0.213	viable
6	Female	5	0.213	viable
8	Female	1	0.213	viable
12	Female	3	0.213	viable
16	Female	40	0.213	viable
16	Hermaphrodite	4	0.213	viable
17	Female	5	0.213	viable
30	Female	22	0.213	viable
33	Female	14	0.213	viable
35	Female	14	0.213	viable
37	Female	34	0.213	viable
38	Hermaphrodite	10	0.213	viable
40	Female	12	0.213	viable
1	Hermaphrodite	20	0.212	viable
7	Hermaphrodite	4	0.212	viable
10	Female	7	0.212	viable
16	Hermaphrodite	6	0.212	viable
21	Hermaphrodite	3	0.212	viable
25	Female	17	0.212	viable
26	Hermaphrodite	19	0.212	viable
32	Female	38	0.212	viable
1	Hermaphrodite	3	0.211	viable
3	Hermaphrodite	2	0.211	viable
4	Female	16	0.211	viable
12	Female	20	0.211	viable
21	Hermaphrodite	14	0.211	viable
26	Female	1	0.211	viable
37	Hermaphrodite	3	0.211	viable
1	Hermaphrodite	44	0.210	viable
1	Female	3	0.210	viable
2	Female	34	0.210	viable
10	Hermaphrodite	20	0.210	viable
38	Female	35	0.210	viable
3	Female	24	0.209	viable
12	Female	16	0.209	viable
23	Female	20	0.209	viable
5	Female	13	0.208	viable
9	Hermaphrodite	7	0.208	viable
10	Hermaphrodite	14	0.208	viable
13	Female	4	0.208	viable
14	Female	4	0.208	viable
25	Female	21	0.208	viable
4	Female	19	0.207	viable
7	Female	12	0.207	viable
13	Female	9	0.207	viable
5	Female	12	0.206	viable
12	Female	24	0.206	viable
13	Female	43	0.206	viable
14	Female	13	0.206	viable
29	Female	12	0.206	viable
33	Female	15	0.206	viable
1	Hermaphrodite	4	0.205	viable
3	Female	12	0.205	viable
3	Female	16	0.205	viable
12	Female	6	0.205	viable
13	Female	10	0.205	viable
13	Female	32	0.205	viable
25	Female	20	0.205	viable
26	Female	20	0.205	viable
29	Female	16	0.205	viable
35	Female	13	0.205	viable
4	Hermaphrodite	31	0.204	viable
12	Hermaphrodite	25	0.204	viable
15	Hermaphrodite	7	0.204	viable
25	Female	27	0.204	viable
9	Female	28	0.203	viable
11	Female	7	0.203	viable
27	Hermaphrodite	6	0.203	viable
30	Female	1	0.203	viable
30	Female	7	0.203	viable
12	Female	4	0.202	viable
26	Hermaphrodite	9	0.202	viable
30	Female	28	0.202	viable
38	Female	9	0.202	viable
1	Female	43	0.201	viable
10	Female	13	0.201	viable
13	Female	19	0.201	viable
21	Hermaphrodite	15	0.201	viable
31	Female	14	0.201	viable
33	Female	1	0.201	viable
38	Female	3	0.201	viable
39	Hermaphrodite	1	0.201	viable
2	Female	4	0.200	viable
4	Female	33	0.200	viable
9	Female	11	0.200	viable
10	Hermaphrodite	15	0.200	viable
13	Female	35	0.200	viable
26	Female	18	0.200	viable
32	Hermaphrodite	37	0.200	viable
37	Female	33	0.200	viable
5	Female	7	0.199	viable
7	Hermaphrodite	3	0.198	viable
8	Female	3	0.198	viable
12	Female	22	0.198	viable
13	Female	46	0.198	viable
32	Female	21	0.198	viable
11	Female	1	0.197	viable
11	Female	3	0.197	viable
14	Hermaphrodite	1	0.197	viable
15	Female	1	0.197	viable
23	Female	6	0.197	viable
23	Female	18	0.197	viable
33	Female	34	0.197	viable
36	Female	27	0.197	viable
39	Female	14	0.197	viable
2	Female	18	0.196	viable
2	Hermaphrodite	6	0.196	viable
3	Female	23	0.196	viable
8	Hermaphrodite	4	0.196	viable
12	Female	25	0.196	viable
30	Female	14	0.196	viable
36	Female	26	0.196	viable
4	Female	11	0.195	viable
4	Hermaphrodite	13	0.195	viable
12	Hermaphrodite	20	0.195	viable
13	Female	15	0.195	viable
21	Hermaphrodite	12	0.195	viable
23	Female	21	0.195	viable
26	Female	13	0.195	viable
30	Female	16	0.195	viable
31	Hermaphrodite	5	0.195	viable
37	Female	1	0.195	viable
38	Hermaphrodite	33	0.195	viable
10	Female	2	0.194	viable
12	Hermaphrodite	28	0.194	viable
13	Female	44	0.194	viable
19	Hermaphrodite	4	0.194	viable
26	Hermaphrodite	18	0.194	viable
32	Hermaphrodite	32	0.194	viable
3	Female	19	0.193	viable
4	Female	5	0.193	viable
4	Hermaphrodite	2	0.193	viable
7	Female	40	0.193	viable
12	Hermaphrodite	19	0.193	viable
26	Female	16	0.193	viable
30	Hermaphrodite	5	0.193	viable
32	Female	32	0.193	viable
32	Hermaphrodite	8	0.193	viable
2	Hermaphrodite	1	0.192	viable
4	Hermaphrodite	3	0.192	viable
10	Hermaphrodite	2	0.192	viable
10	Hermaphrodite	7	0.192	viable
11	Female	5	0.192	viable
16	Hermaphrodite	1	0.192	viable
23	Female	22	0.192	viable
29	Female	2	0.192	viable
31	Female	26	0.192	viable
37	Female	14	0.192	viable
37	Hermaphrodite	13	0.192	viable
38	Hermaphrodite	4	0.192	viable
10	Female	12	0.191	viable
13	Hermaphrodite	2	0.191	viable
21	Hermaphrodite	13	0.191	viable
37	Female	42	0.191	viable
1	Female	1	0.190	viable
3	Female	10	0.190	viable
4	Female	8	0.190	viable
7	Hermaphrodite	17	0.190	viable
8	Hermaphrodite	1	0.190	viable
9	Hermaphrodite	17	0.190	viable
21	Female	2	0.190	viable
26	Female	8	0.190	viable
26	Female	15	0.190	viable
26	Hermaphrodite	15	0.190	viable
31	Female	9	0.190	viable
35	Female	25	0.190	viable
35	Hermaphrodite	4	0.190	viable
35	Hermaphrodite	21	0.190	viable
1	Hermaphrodite	19	0.189	viable
10	Female	11	0.189	viable
11	Hermaphrodite	1	0.189	viable
13	Female	13	0.189	viable
27	Female	9	0.189	viable
35	Hermaphrodite	1	0.189	viable
2	Hermaphrodite	4	0.188	viable
7	Female	41	0.188	viable
24	Female	4	0.188	viable
25	Female	19	0.188	viable
26	Female	19	0.188	viable
32	Female	19	0.188	viable
33	Hermaphrodite	15	0.188	viable
37	Female	37	0.188	viable
4	Female	9	0.187	viable
13	Female	23	0.187	viable
13	Female	25	0.187	viable
13	Hermaphrodite	30	0.187	viable
17	Female	3	0.187	viable
19	Female	10	0.187	viable
21	Hermaphrodite	20	0.187	viable
23	Female	29	0.187	viable
26	Hermaphrodite	5	0.187	viable
30	Female	25	0.187	viable
30	Female	27	0.187	viable
32	Female	4	0.187	viable
37	Female	23	0.187	viable
37	Female	59	0.187	viable
1	Female	12	0.186	viable
13	Hermaphrodite	40	0.186	viable
15	Female	3	0.186	viable
20	Hermaphrodite	4	0.186	viable
29	Female	15	0.186	viable
30	Female	30	0.186	viable
32	Female	28	0.186	viable
35	Hermaphrodite	23	0.186	viable
38	Hermaphrodite	6	0.186	viable
4	Hermaphrodite	23	0.185	viable
27	Female	15	0.185	viable
31	Female	24	0.185	viable
31	Female	39	0.185	viable
35	Hermaphrodite	13	0.185	viable
38	Hermaphrodite	15	0.185	viable
2	Female	12	0.184	viable
3	Female	41	0.184	viable
3	Hermaphrodite	10	0.184	viable
4	Hermaphrodite	27	0.184	viable
5	Female	11	0.184	viable
6	Female	12	0.184	viable
13	Female	11	0.184	viable
21	Female	7	0.184	viable
26	Female	11	0.184	viable
29	Hermaphrodite	1	0.184	viable
32	Female	8	0.184	viable
1	Female	9	0.183	viable
1	Hermaphrodite	13	0.183	viable
5	Female	8	0.183	viable
8	Female	17	0.183	viable
13	Female	1	0.183	viable
13	Hermaphrodite	26	0.183	viable
16	Female	39	0.183	viable
27	Female	21	0.183	viable
30	Female	21	0.183	viable
31	Female	2	0.183	viable
1	Hermaphrodite	22	0.182	viable
4	Female	7	0.182	viable
4	Female	18	0.182	viable
4	Hermaphrodite	38	0.182	viable
9	Female	7	0.182	viable
10	Hermaphrodite	13	0.182	viable
12	Hermaphrodite	15	0.182	viable
13	Female	17	0.182	viable
13	Female	18	0.182	viable
16	Female	15	0.182	viable
23	Hermaphrodite	11	0.182	viable
26	Female	9	0.182	viable
27	Female	17	0.182	viable
32	Female	15	0.182	viable
37	Female	20	0.182	viable
1	Female	23	0.181	viable
1	Female	35	0.181	viable
